"latenttrait","glasgow1","glasgow2","glasgow3","glasgow4","lad","supplementallad","vf2"
-5.12216986512599,0,0,0,4,0,0,0
-5.01565873633563,0,0,0,4,0,0,0
-4.90914760754527,0,0,0,4,0,0,0
-4.80263647875491,0,0,0,4,0,0,0
-4.69612534996455,0,0,0,4,0,0,0
-4.58961422117419,0,0,0,4,0,0,0
-4.48310309238383,0,0,0,4,0,0,0
-4.37659196359347,0,0,0,4,0,0,0
-4.27008083480311,0,0,0,4,0,0,0
-4.16356970601275,0,0,0,4,0,0,0
-4.05705857722238,0,0,0,4,0,0,0
-3.95054744843202,0,0,0,4,0,0,0
-3.84403631964166,0,0,0,4,0,0,0
-3.7375251908513,0,0,0,4,0,0,0
-3.63101406206094,0,0,0,0,5,0,0
-3.52450293327058,0,0,0,0,5,0,0
-3.41799180448022,0,0,0,0,0,0,7
-3.31148067568986,0,0,0,0,0,0,7
-3.2049695468995,0,0,0,0,0,0,7
-3.09845841810913,0,0,0,0,0,0,7
-2.99194728931877,0,0,0,0,0,0,7
-2.88543616052841,0,0,0,0,0,0,7
-2.77892503173805,0,0,0,0,0,0,7
-2.67241390294769,0,0,0,0,0,0,7
-2.56590277415733,0,0,0,0,0,0,7
-2.45939164536697,0,0,0,0,0,0,7
-2.35288051657661,0,0,0,0,0,0,7
-2.24636938778625,0,0,0,0,0,0,7
-2.13985825899588,0,0,0,0,0,0,7
-2.03334713020552,0,0,0,0,0,0,7
-1.92683600141516,0,0,0,0,0,0,7
-1.8203248726248,0,0,0,0,0,0,7
-1.71381374383444,0,0,0,0,0,0,7
-1.60730261504408,0,0,3,0,0,0,0
-1.50079148625372,0,0,0,4,0,0,0
-1.39428035746336,0,0,0,4,0,0,0
-1.287769228673,0,0,0,4,0,0,0
-1.18125809988264,0,0,0,4,0,0,0
-1.07474697109227,0,0,0,4,0,0,0
-0.968235842301914,0,0,0,4,0,0,0
-0.861724713511553,0,0,0,4,0,0,0
-0.755213584721191,0,0,0,4,0,0,0
-0.64870245593083,0,0,0,4,0,0,0
-0.542191327140469,0,0,0,4,0,0,0
-0.435680198350108,0,0,0,4,0,0,0
-0.329169069559747,0,0,0,4,0,0,0
-0.222657940769386,0,0,0,4,0,0,0
-0.116146811979025,0,0,0,4,0,0,0
-0.00963568318866415,0,0,0,4,0,0,0
0.0968754456016967,0,0,0,4,0,0,0
0.203386574392058,0,0,0,4,0,0,0
0.309897703182419,0,0,0,4,0,0,0
0.41640883197278,0,0,0,4,0,0,0
0.522919960763141,0,0,0,4,0,0,0
0.629431089553503,0,0,0,4,0,0,0
0.735942218343864,0,0,0,4,0,0,0
0.842453347134224,0,0,0,4,0,0,0
0.948964475924585,0,0,0,4,0,0,0
1.05547560471495,0,0,0,4,0,0,0
1.16198673350531,0,0,0,4,0,0,0
1.26849786229567,0,0,0,4,0,0,0
1.37500899108603,0,0,0,4,0,0,0
1.48152011987639,0,0,0,4,0,0,0
1.58803124866675,0,0,0,4,0,0,0
1.69454237745711,0,0,0,4,0,0,0
1.80105350624747,0,0,0,4,0,0,0
1.90756463503783,0,0,0,4,0,0,0
2.0140757638282,0,0,0,4,0,0,0
2.12058689261856,0,0,0,4,0,0,0
2.22709802140892,0,0,0,4,0,0,0
2.33360915019928,0,0,0,4,0,0,0
2.44012027898964,0,0,0,4,0,0,0
2.54663140778,0,0,0,4,0,0,0
2.65314253657036,0,0,0,4,0,0,0
2.75965366536072,0,0,0,4,0,0,0
2.86616479415108,0,0,0,4,0,0,0
2.97267592294145,0,0,0,4,0,0,0
3.07918705173181,0,0,0,4,0,0,0
3.18569818052217,0,0,0,4,0,0,0
3.29220930931253,0,0,0,4,0,0,0
